Date,t,Cost ($ per Barrel)
10-Jan,1,76.04
10-Feb,2,75.91
10-Mar,3,78.52
10-Apr,4,82.12
10-May,5,75.23
10-Jun,6,73.92
10-Jul,7,74.52
10-Aug,8,76.21
10-Sep,9,74.98
10-Oct,10,79.04
10-Nov,11,82.31
10-Dec,12,86.48
11-Jan,13,88.7
11-Feb,14,89.5
11-Mar,15,102.41
11-Apr,16,111.7
11-May,17,107.63
11-Jun,18,102.51
11-Jul,19,102.67
11-Aug,20,95.9
11-Sep,21,96.89
11-Oct,22,98.34
11-Nov,23,106.69
11-Dec,24,104.51
12-Jan,25,103.97
12-Feb,26,105.93
12-Mar,27,110.8
12-Apr,28,111.22
12-May,29,103.04
12-Jun,30,91.66
12-Jul,31,92.64
12-Aug,32,98.58
12-Sep,33,102.17
12-Oct,34,99.07
12-Nov,35,95.28
12-Dec,36,96.56
13-Jan,37,103.78
13-Feb,38,103.75
13-Mar,39,103.45
13-Apr,40,102.53